entity_id,name_translate,name_color,display_scale,display_y_offset,sim_cost,base_drop_id,base_drop_count,trivia_key,fabricator_drops
cataclysm:amethyst_crab,entity.cataclysm.amethyst_crab,#C875C4,0.7,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.amethyst_crab,"cataclysm:amethyst_crab_meat,4,false;cataclysm:amethyst_crab_shell,1,true"
cataclysm:ancient_remnant,entity.cataclysm.ancient_remnant,#C5A059,0.22,-0.4,4096,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.ancient_remnant,"cataclysm:sandstorm_in_a_bottle,1,false;cataclysm:remnant_skull,1,true;cataclysm:ancient_metal_block,1,true;cataclysm:music_disc_ancient_remnant,1,true"
cataclysm:aptrgangr,entity.cataclysm.aptrgangr,#5A6565,0.5,-0.1,2048,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.aptrgangr,"minecraft:bone,4,false;minecraft:rotten_flesh,4,false;cataclysm:strange_key,1,true;cataclysm:black_steel_ingot,1,true"
cataclysm:cindaria,entity.cataclysm.cindaria,#4FA5E2,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.cindaria,"cataclysm:lacrima,2,false"
cataclysm:clawdian,entity.cataclysm.clawdian,#D2691E,0.55,0.0,2048,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.clawdian,"cataclysm:chitin_claw,1,false;cataclysm:lacrima,2,true"
cataclysm:coralssus,entity.cataclysm.coralssus,#2E8B57,0.45,-0.2,2048,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.coralssus,"cataclysm:coral_chunk,3,false"
cataclysm:coral_golem,entity.cataclysm.coral_golem,#3CB371,0.6,-0.1,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.coral_golem,"cataclysm:crystallized_coral_fragments,4,false"
cataclysm:deepling,entity.cataclysm.deepling,#1F4E5B,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.deepling,"minecraft:nautilus_shell,1,true"
cataclysm:deepling_angler,entity.cataclysm.deepling_angler,#1F4E5B,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.deepling_angler,"minecraft:nautilus_shell,1,true"
cataclysm:deepling_brute,entity.cataclysm.deepling_brute,#1F4E5B,0.7,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.deepling_brute,"minecraft:nautilus_shell,1,true"
cataclysm:deepling_priest,entity.cataclysm.deepling_priest,#1F4E5B,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.deepling_priest,"cataclysm:athame,1,true"
cataclysm:deepling_warlock,entity.cataclysm.deepling_warlock,#1F4E5B,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.deepling_warlock,"cataclysm:athame,1,true"
cataclysm:draugr,entity.cataclysm.draugr,#778899,0.85,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.draugr,"minecraft:bone,2,false;minecraft:rotten_flesh,2,false;cataclysm:black_steel_nugget,4,true"
cataclysm:drowned_host,entity.cataclysm.drowned_host,#20B2AA,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.drowned_host,"minecraft:rotten_flesh,2,false;cataclysm:lacrima,1,true"
cataclysm:elite_draugr,entity.cataclysm.elite_draugr,#778899,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.elite_draugr,"minecraft:bone,3,false;minecraft:rotten_flesh,3,false;cataclysm:black_steel_nugget,6,true"
cataclysm:endermaptera,entity.cataclysm.endermaptera,#161616,1.0,0.0,512,hostilenetworks:end_prediction,1,hostilenetworks.trivia.endermaptera,"cataclysm:void_jaw,1,true"
cataclysm:ender_golem,entity.cataclysm.ender_golem,#4B0082,0.45,-0.2,2048,hostilenetworks:end_prediction,1,hostilenetworks.trivia.ender_golem,"cataclysm:void_core,1,false"
cataclysm:ender_guardian,entity.cataclysm.ender_guardian,#8A2BE2,0.22,-0.5,4096,hostilenetworks:end_prediction,1,hostilenetworks.trivia.ender_guardian,"cataclysm:gauntlet_of_guard,1,false;cataclysm:music_disc_ender_guardian,1,true"
cataclysm:hippocamtus,entity.cataclysm.hippocamtus,#4682B4,0.75,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.hippocamtus,"cataclysm:lacrima,1,false"
cataclysm:ignis,entity.cataclysm.ignis,#FF4500,0.22,-0.4,4096,hostilenetworks:nether_prediction,1,hostilenetworks.trivia.ignis,"cataclysm:ignitium_ingot,2,false;cataclysm:music_disc_ignis,1,true"
cataclysm:ignited_berserker,entity.cataclysm.ignited_berserker,#FF8C00,0.8,0.0,512,hostilenetworks:nether_prediction,1,hostilenetworks.trivia.ignited_berserker,"cataclysm:dying_ember,2,false"
cataclysm:ignited_revenant,entity.cataclysm.ignited_revenant,#FF8C00,0.55,-0.1,2048,hostilenetworks:nether_prediction,1,hostilenetworks.trivia.ignited_revenant,"cataclysm:burning_ashes,2,false"
cataclysm:kobolediator,entity.cataclysm.kobolediator,#CD853F,0.6,-0.1,2048,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.kobolediator,"cataclysm:kobolediator_skull,1,true;cataclysm:koboleton_bone,3,false;cataclysm:ancient_metal_ingot,1,true"
cataclysm:koboleton,entity.cataclysm.koboleton,#DEB887,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.koboleton,"cataclysm:koboleton_bone,2,false;cataclysm:ancient_metal_nugget,4,true"
cataclysm:lionfish,entity.cataclysm.lionfish,#FFA570,0.9,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.lionfish,"cataclysm:lionfish,1,false;minecraft:bone_meal,2,true"
cataclysm:maledictus,entity.cataclysm.maledictus,#483D8B,0.33,-0.3,4096,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.maledictus,"cataclysm:cursium_ingot,2,false;cataclysm:music_disc_maledictus,1,true"
cataclysm:modern_remnant,entity.cataclysm.modern_remnant,#B8860B,0.6,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.modern_remnant,"cataclysm:remnant_skull,1,true"
cataclysm:netherite_ministrosity,entity.cataclysm.netherite_ministrosity,#4A4A4A,0.7,0.0,512,hostilenetworks:nether_prediction,1,hostilenetworks.trivia.netherite_ministrosity,"cataclysm:netherite_effigy,1,true"
cataclysm:netherite_monstrosity,entity.cataclysm.netherite_monstrosity,#2E1E1E,0.22,-0.5,4096,hostilenetworks:nether_prediction,1,hostilenetworks.trivia.netherite_monstrosity,"cataclysm:infernal_forge,1,false;cataclysm:monstrous_horn,2,false;cataclysm:lava_power_cell,1,true;cataclysm:music_disc_netherite_monstrosity,1,true"
cataclysm:royal_draugr,entity.cataclysm.royal_draugr,#778899,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.royal_draugr,"minecraft:bone,3,false;minecraft:rotten_flesh,3,false;cataclysm:black_steel_ingot,1,true"
cataclysm:scylla,entity.cataclysm.scylla,#008B8B,0.33,-0.3,4096,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.scylla,"cataclysm:lacrima,4,false;cataclysm:essence_of_the_storm,1,false;cataclysm:music_disc_scylla,1,true"
cataclysm:symbiocto,entity.cataclysm.symbiocto,#4B0082,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.symbiocto,"minecraft:ink_sac,4,false;cataclysm:lacrima,1,true"
cataclysm:the_baby_leviathan,entity.cataclysm.the_baby_leviathan,#00CED1,0.8,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.the_baby_leviathan,"cataclysm:abyssal_egg,1,true"
cataclysm:the_harbinger,entity.cataclysm.the_harbinger,#4D386D,0.22,-0.4,4096,hostilenetworks:nether_prediction,1,hostilenetworks.trivia.the_harbinger,"cataclysm:witherite_block,1,false;cataclysm:music_disc_the_harbinger,1,true"
cataclysm:the_leviathan,entity.cataclysm.the_leviathan,#008080,0.18,-0.6,4096,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.the_leviathan,"cataclysm:tidal_claws,1,false;cataclysm:abyssal_egg,1,true;cataclysm:music_disc_the_leviathan,1,true"
cataclysm:the_prowler,entity.cataclysm.the_prowler,#8B0000,0.7,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.the_prowler,"minecraft:redstone,4,false;minecraft:iron_ingot,2,false"
cataclysm:the_watcher,entity.cataclysm.the_watcher,#8B0000,0.7,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.the_watcher,"minecraft:redstone,4,false;minecraft:iron_ingot,2,false"
cataclysm:urchinkin,entity.cataclysm.urchinkin,#483D8B,0.9,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.urchinkin,"cataclysm:lacrima,1,false"
cataclysm:wadjet,entity.cataclysm.wadjet,#556B2F,0.75,0.0,512,hostilenetworks:overworld_prediction,1,hostilenetworks.trivia.wadjet,"cataclysm:ancient_metal_ingot,1,true"
