Pack	Name	Type	ID	Parent	Categories	Additive	Traits	Durability	Armor Durability	Repair Efficiency	Repair Bonus	Enchantment Value	Charging Value	Rarity	Harvest Tier	Harvest Speed	Block Reach	Attack Damage	Attack Speed	Attack Reach	Magic Damage	Ranged Damage	Draw Speed	Projectile Speed	Projectile Accuracy	Armor	Armor Toughness	Knockback Resistance	Magic Armor	
null	String	Binding	silentgear:string		Basic, Fiber, Organic		Flexible I			+5%																				
null	Fluffy String	Binding	silentgear:fluffy_string		Basic, Fiber, Organic		Flexible III		+5%							-5%														
null	Vine	Binding	silentgear:vine		Basic, Organic					+3%																				
null	Fine Silk	Binding	silentgear:fine_silk		Basic, Fiber, Organic		Lucky I, Flexible IV																						+2	
null	Sinew	Binding	silentgear:sinew		Basic, Fiber, Organic		Flexible IV			-5%																				
null	Flax	Binding	silentgear:flax		Basic, Fiber, Organic		Flexible III		+5%							+5%														
null	Example	Binding	silentgear:example		Intangible																									
null	Golden (Gold)	Coating	silentgear:gold		Intermediate, Metal, Casting		Brilliant, Soft III*	x0.9	x0.9					+10																
null	Uru Metal	Coating	sgearmetalworks:uru_metal		Endgame, Metal, Casting, Infusing		Sting resist I*	x3.5	x5			+500			netherite (4)															
null	Netherite	Coating	silentgear:netherite		Endgame, Metal, Casting		Fireproof	+2, x1.3	x1.12			+5			netherite (4)	x1.13		x1.33			x1.33	x1.33					+4	+1		
null	Prismarine	Coating	silentgear:prismarine		Gem, Advanced, Organic		Aquatic V*, Aquatic III*	x1.08	x1.13																		+1	+0.25		
null	Blaze Gold	Coating	silentgear:blaze_gold		Metal, Casting, Advanced		Brilliant, Soft II*	x0.95	x0.95					+20																
null	Example	Coating	silentgear:example		Intangible																									
null	String	Cord	silentgear:string		Basic, Fiber, Organic																		+10%							
null	Fluffy String	Cord	silentgear:fluffy_string		Basic, Fiber, Organic																	+5%	-5%							
null	Vine	Cord	silentgear:vine		Basic, Organic																	-10%								
null	Fine Silk	Cord	silentgear:fine_silk		Basic, Fiber, Organic		Flexible II															+7%								
null	Sinew	Cord	silentgear:sinew		Basic, Fiber, Organic		Flexible II															+20%								
null	Flax	Cord	silentgear:flax		Basic, Fiber, Organic																	-10%	+20%							
null	Example	Cord	silentgear:example		Intangible																									
null	Paper	Fletching	silentgear:paper		Sheet, Basic, Organic																			1.1x	90%					
null	Feather	Fletching	silentgear:feather		Basic, Organic																			0.9x	110%					
null	Leaf (Leaves)	Fletching	silentgear:leaves		Basic, Organic																			1.1x	90%					
null	Example	Fletching	silentgear:example		Intangible																									
null	Pink Wool	Grip	silentgear:wool/pink	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Magenta Wool	Grip	silentgear:wool/magenta	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Leather	Grip	silentgear:leather		Cloth, Basic, Organic		Flexible III			+10%						+15%			+0.15											
null	Light Gray Wool	Grip	silentgear:wool/light_gray	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Light Blue Wool	Grip	silentgear:wool/light_blue	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Blue Wool	Grip	silentgear:wool/blue	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Gray Wool	Grip	silentgear:wool/gray	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Wool	Grip	silentgear:wool		Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Purple Wool	Grip	silentgear:wool/purple	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Red Wool	Grip	silentgear:wool/red	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Fine Silk Cloth	Grip	silentgear:fine_silk_cloth		Intermediate, Cloth, Organic		Accelerate I*			+10%						+15%														
null	Orange Wool	Grip	silentgear:wool/orange	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Lime Wool	Grip	silentgear:wool/lime	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Yellow Wool	Grip	silentgear:wool/yellow	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Green Wool	Grip	silentgear:wool/green	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	White Wool	Grip	silentgear:wool/white	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Brown Wool	Grip	silentgear:wool/brown	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Phantom Membrane	Grip	silentgear:phantom_membrane		Intermediate, Cloth, Organic		Ancient II*			+15%						+10%			+0.2											
null	Black Wool	Grip	silentgear:wool/black	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
null	Example	Grip	silentgear:example		Intangible																									
null	Cyan Wool	Grip	silentgear:wool/cyan	Wool	Cloth, Basic, Organic		Flexible II			+20%						+10%			+0.2											
